STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,tra_cov,Transport coverage,schedule,Type of schedule,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-04,,2817652,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-05,,3221586,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-06,,3687329,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-07,,4120443,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-08,,4090307,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-09,,3848917,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-10,,3309933,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-11,,2754558,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-12,,2740903,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-01,,2713854,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-02,,2607414,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-03,,2986682,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-04,,3338476,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-05,,3801689,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-06,,4385659,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-07,,4845896,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-08,,4835478,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-09,,4487209,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-10,,3737855,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-11,,3040599,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2018-12,,2986737,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2019-01,,2871991,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2019-02,,2827435,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2019-03,,3209758,,,,,
